iter	MAE
189	0.6054704233
190	0.605324102
191	0.6051933085
192	0.6050493217
193	0.6048845517
194	0.6047176921
195	0.6045030901
196	0.6043631242
197	0.6041674092
198	0.6040376603
199	0.6039357946
200	0.6038115262
201	0.6036104689
202	0.6034458965
203	0.6033435566
204	0.6031561292
205	0.6029430185
206	0.6027505859
207	0.6025995753
208	0.6024109995
209	0.6022254029
210	0.6020292118
211	0.6018725023
212	0.6017334345
213	0.6015596033
214	0.6013567905
215	0.6011558559
216	0.6009649717
217	0.6007852806
218	0.6005784391
219	0.6003942867
220	0.600206665
221	0.6000196571
222	0.5998809177
223	0.5997349337
224	0.5996115226
225	0.5993707758
226	0.5992261683
227	0.5990713959
228	0.5989036785
229	0.5987629227
230	0.5986177137
231	0.5984862568
232	0.5983131942
233	0.5981755256
234	0.5978926374
235	0.5976841531
236	0.5975264063
237	0.5973573335
238	0.5972054361
239	0.5969657025
240	0.5967542865
241	0.596605368
242	0.5964371827
243	0.5962802112
244	0.5961258331
245	0.5959483462
246	0.5957783008
247	0.5956460892
248	0.5954916148
249	0.595313991
250	0.5950988935
251	0.5949756615
252	0.5946929217
253	0.5944688768
254	0.5943236335
255	0.5941752266
256	0.593975008
257	0.5937932409
258	0.5936163535
259	0.5934609865
260	0.5933107972
261	0.5931738915
262	0.5930268083
263	0.5928392678
264	0.5926360411
265	0.5924355996
266	0.5922856135
267	0.5921394336
268	0.5919846401
269	0.5917981951
270	0.5916423989
271	0.591434385
272	0.5912374453
273	0.591034126
274	0.5908481498
275	0.590641739
276	0.5904354829
277	0.5902600375
278	0.5899647237
279	0.5898018354
280	0.5896012068
281	0.5894572772
282	0.5892668121
283	0.5890548358
284	0.5889173593
285	0.5887836186
286	0.5885736777
287	0.5883871724
288	0.588228407
289	0.5880338908
290	0.5878577999
291	0.5876867311
292	0.5875402402
293	0.5873904218
294	0.5872255178
295	0.5870578628
296	0.5869311963
297	0.5867933906
298	0.5866293969
299	0.5864345591
300	0.5862968598
301	0.5861384162
302	0.5859978487
303	0.5858620702
304	0.5857020927
305	0.5854968028
306	0.5853455778
307	0.5851902517
308	0.5849676114
309	0.5848659455
310	0.5847239034
311	0.5845501461
312	0.5844147797
313	0.5842800092
314	0.5841261437
315	0.5839260144
316	0.5837536396
317	0.5836435017
318	0.5834813976
319	0.5832944813
320	0.5831897944
321	0.5830065539
322	0.5828831657
323	0.5826913224
324	0.5825283112
325	0.5823730006
326	0.5822257389
327	0.5819611048
328	0.5817835549
329	0.5816440059
330	0.5814971163
331	0.581316904
332	0.5811798837
333	0.5810427181
334	0.5808536064
335	0.580701301
336	0.5805727911
337	0.5804154654
338	0.5802386953
339	0.5800628619
340	0.5799081599
341	0.5797124094
342	0.5795478994
343	0.5794012854
344	0.5792279591
345	0.5790769857
346	0.5788884659
347	0.5786946939
348	0.5785799643
349	0.5784268893
350	0.5782500003
351	0.5780508947
352	0.5779160911
353	0.577789794
354	0.5776253648
355	0.5774591847
356	0.5772577598
357	0.5771162857
358	0.5769143022
359	0.5767731027
360	0.5766061863
361	0.5763831881
362	0.5762615965
363	0.5760885736
364	0.5759872792
365	0.5758008881
366	0.5756045505
367	0.5754322158
368	0.5752907263
369	0.5751135128
370	0.574946946
371	0.574795054
372	0.5746294456
373	0.5744664609
374	0.5742886871
375	0.574109329
376	0.5739572222
377	0.5738329162
378	0.5736602731
379	0.573542167
380	0.5734335348
381	0.5732558894
382	0.5731063256
383	0.5729726627
384	0.5728603896
385	0.5727453723
386	0.5725884588
387	0.5724163513
388	0.5722149969
389	0.5720202975
390	0.5718854853
391	0.5717588221
392	0.5715777082
393	0.571411261
394	0.5712552047
395	0.5711230984
396	0.5709783263
397	0.5708141706
398	0.5706484969
399	0.5704760714
400	0.5703718766
401	0.5702326777
402	0.5701064312
403	0.5699391937
404	0.5698010138
405	0.5696859466
406	0.5695437195
407	0.5694177182
408	0.5692776962
409	0.5691873367
410	0.5690635572
411	0.5688645081
412	0.5687501066
413	0.5686343339
414	0.568516734
415	0.5683480657
416	0.568205408
417	0.5680142461
418	0.5678469379
419	0.5677209271
420	0.567562709
421	0.5674052494
422	0.5672493708
423	0.567093915
424	0.5669577934
425	0.5668229027
426	0.5666677197
427	0.5664872336
428	0.5663477245
429	0.5662212691
430	0.5660602113
431	0.5659115195
432	0.5657542985
433	0.5656208024
434	0.5655226092
435	0.5653691656
436	0.5652096651
437	0.5650563464
438	0.5649322237
439	0.5647607779
440	0.5646135323
441	0.5644574584
442	0.5643012434
443	0.564182887
444	0.5640638689
445	0.5639207489
446	0.5637975132
447	0.5636919668
448	0.5635271981
449	0.5633986796
450	0.5632757719
451	0.5631613617
452	0.5630147856
453	0.5628497692
454	0.5626854787
455	0.5625306295
456	0.5624035969
457	0.5622440783
458	0.5621206927
459	0.5619668632
460	0.5618149321
461	0.5616626792
462	0.5615219755
463	0.5614272125
464	0.5612933216
465	0.5611555163
466	0.5609929104
467	0.5608715065
468	0.5607699481
469	0.5606351626
470	0.5605296431
471	0.5603973101
472	0.5602958804
473	0.5601661182
474	0.5600164075
475	0.5598814072
476	0.5597294667
477	0.5595646689
478	0.5593434717
479	0.5592019445
480	0.5590547352
481	0.5589509301
482	0.5588229061
483	0.5586626387
484	0.5585574893
485	0.5584383787
486	0.558274109
487	0.5581621377
488	0.5580321089
489	0.557890723
490	0.5577577455
491	0.5575964048
492	0.5574568743
493	0.5573092782
494	0.5571970809
495	0.5570446648
496	0.5569096864
497	0.5567740321
498	0.5566510687
499	0.5564874322
500	0.5563403905
501	0.5562065195
502	0.556074403
503	0.5559699227
504	0.555856547
505	0.5557487086
506	0.5556065476
507	0.5554746181
508	0.5553567648
509	0.5552340769
510	0.5551040708
511	0.554951096
512	0.5547972247
513	0.5546692865
514	0.5545372157
515	0.5544078416
516	0.5542951892
517	0.5541813188
518	0.5540420262
519	0.553883346
520	0.5537465984
521	0.5536455972
522	0.5535095659
523	0.5533951556
524	0.553236718
525	0.5531254717
526	0.5530167866
527	0.5528769411
528	0.5527206964
529	0.5525807071
530	0.5524395111
531	0.5522689036
532	0.5521580429
533	0.5519608197
534	0.5518177662
535	0.5516915316
536	0.5515510599
537	0.5514412213
538	0.5513386685
539	0.5511945064
540	0.5510479034
541	0.5509335508
542	0.5508079673
543	0.5506788363
544	0.5505449893
545	0.5504363514
546	0.5503447579
547	0.5502179378
548	0.5500964716
549	0.5499627761
550	0.549861445
551	0.5497339147
552	0.5495951962
553	0.5494651528
554	0.5493393462
555	0.5492382222
556	0.5491061367
557	0.5489656425
558	0.5488088176
559	0.5486802992
560	0.5485404685
561	0.548401519
562	0.5482612386
563	0.548116929
564	0.5479721355
565	0.5478190149
566	0.5476729024
567	0.5475296182
568	0.5473419987
569	0.5472455665
570	0.5471059851
571	0.5469681988
572	0.5468255187
573	0.5466949805
574	0.5465346356
575	0.5464149265
576	0.5463229203
577	0.5462112703
578	0.5461145748
579	0.5460234856
580	0.5458878549
581	0.5457541072
582	0.5456073404
583	0.5454864796
584	0.5453386945
585	0.545190362
586	0.5450662478
587	0.5449943245
588	0.5449009331
589	0.5447739927
590	0.5446346526
591	0.5445203113
592	0.5443803842
593	0.5442448872
594	0.5440875981
595	0.5439694337
596	0.5438207652
597	0.5436849348
598	0.543553572
599	0.5434136945
600	0.5432647749
601	0.5431269596
602	0.5430197995
603	0.5429190684
604	0.5428023172
605	0.5426990171
606	0.5425751202
607	0.54248743
608	0.542378801
609	0.5422890502
610	0.5421681103
611	0.5420338313
612	0.5419227178
613	0.5418442338
614	0.5417360742
615	0.5416196383
616	0.5415148796
617	0.5413762577
618	0.5412601799
619	0.5411189324
620	0.5409858049
621	0.5408645217
622	0.5407512295
623	0.5406424856
624	0.5405172482
625	0.5404076051
626	0.5403030227
627	0.5401668776
628	0.5400460944
629	0.539940719
630	0.5398321602
631	0.539712831
632	0.5396096873
633	0.5394792066
634	0.5393326324
635	0.5392028015
636	0.5391049794
637	0.5389752948
638	0.5388383231
639	0.5387203281
640	0.5386157373
641	0.5385038156
642	0.5383923571
643	0.5382638458
644	0.5381882311
645	0.5380565531
646	0.5379279062
647	0.5378049197
648	0.5376957477
649	0.5375784327
650	0.5374584701
651	0.5373799926
652	0.5372737326
653	0.5371466663
654	0.5370484851
655	0.5369301784
656	0.5368143691
657	0.5366784611
658	0.5365506512
659	0.536468182
660	0.536326243
661	0.5362095591
662	0.5361013929
663	0.5359663638
664	0.5358731399
665	0.5357639471
666	0.535664757
667	0.5355692482
668	0.5354413479
669	0.5353459185
670	0.5352346163
671	0.5351483669
672	0.5350568856
673	0.5349756267
674	0.5348443438
675	0.5347500126
676	0.5346667086
677	0.5345797387
678	0.5344712646
679	0.5343709744
680	0.5342429608
681	0.5341453337
682	0.5340533715
683	0.5339711956
684	0.5338882651
685	0.5337853466
686	0.5336369189
687	0.533536826
688	0.5334147773
689	0.5332885907
690	0.5331508023
691	0.5330512791
692	0.5329112025
693	0.53283046
694	0.5327286462
695	0.5326078227
696	0.5325395337
697	0.5324417422
698	0.5323415452
699	0.5322480863
700	0.5321599929
701	0.5320694594
702	0.5319353566
703	0.5318369609
704	0.5317185622
705	0.531639826
706	0.5315353473
707	0.5314466142
708	0.5313293932
709	0.5312350538
710	0.5311035532
711	0.5309910464
712	0.5308278486
713	0.530715824
714	0.5305774265
715	0.5304964143
716	0.5303678316
717	0.5302832521
718	0.5301698704
719	0.5300518587
720	0.5299382425
721	0.5298034121
722	0.5296951734
723	0.5295714288
724	0.5294752247
725	0.5293608865
726	0.5292414249
727	0.5291141681
728	0.5290176463
729	0.5289360661
730	0.5288165609
731	0.5286867128
732	0.5285729223
733	0.5285069636
734	0.5283934141
735	0.5282980371
736	0.5281587717
737	0.5280818191
738	0.5279676321
739	0.527879183
740	0.5277814318
741	0.5276988257
742	0.5275889328
743	0.5274782043
744	0.5273551783
745	0.5272359154
746	0.5271223997
747	0.5269892948
748	0.5269028347
749	0.5268046127
750	0.5267014532
751	0.5265703886
752	0.526489261
753	0.5264118674
754	0.5263437656
755	0.5262682224
756	0.5261540512
757	0.5260384772
758	0.5259309236
759	0.5258336784
760	0.5257128809
761	0.5256347071
762	0.525558896
763	0.5254642629
764	0.5253623527
765	0.5252750388
766	0.5251498011
767	0.5250396338
768	0.5249519813
769	0.5248548517
770	0.524729166
771	0.5246096933
772	0.5245052189
773	0.5243948434
774	0.5243096863
775	0.5242089688
776	0.5241015752
