iter	Passed	Remaining
185	13479	203924
186	13553	203886
187	13632	203913
188	13712	203946
189	13790	203948
190	13864	203904
191	13937	203829
192	14011	203788
193	14086	203745
194	14162	203722
195	14236	203662
196	14311	203628
197	14393	203695
198	14467	203633
199	14539	203553
200	14612	203491
201	14692	203509
202	14768	203483
203	14839	203392
204	14916	203374
205	14992	203341
206	15070	203344
207	15147	203321
208	15222	203280
209	15302	203307
210	15380	203297
211	15456	203270
212	15534	203263
213	15610	203226
214	15693	203279
215	15772	203289
216	15847	203235
217	15924	203217
218	16006	203259
219	16080	203193
220	16156	203159
221	16238	203204
222	16318	203207
223	16396	203201
224	16467	203098
225	16542	203050
226	16616	202981
227	16693	202963
228	16771	202945
229	16848	202914
230	16923	202861
231	16999	202823
232	17076	202796
233	17153	202765
234	17228	202715
235	17310	202741
236	17383	202660
237	17458	202601
238	17539	202617
239	17618	202608
240	17696	202596
241	17764	202461
242	17838	202392
243	17914	202343
244	17992	202320
245	18065	202242
246	18140	202184
247	18221	202197
248	18309	202281
249	18390	202292
250	18461	202196
251	18536	202135
252	18606	202019
253	18684	202001
254	18757	201916
255	18831	201848
256	18906	201793
257	18984	201763
258	19060	201716
259	19138	201688
260	19208	201581
261	19286	201553
262	19358	201465
263	19431	201384
264	19515	201418
265	19595	201406
266	19671	201355
267	19747	201307
268	19827	201297
269	19907	201284
270	19980	201209
271	20063	201229
272	20142	201207
273	20219	201166
274	20294	201101
275	20377	201116
276	20455	201086
277	20531	201036
278	20604	200951
279	20677	200864
280	20757	200852
281	20828	200751
282	20902	200683
283	20985	200689
284	21061	200638
285	21134	200557
286	21212	200520
287	21291	200497
288	21367	200442
289	21444	200392
290	21517	200316
291	21598	200307
292	21674	200244
293	21751	200201
294	21825	200125
295	21899	200056
296	21972	199975
297	22049	199926
298	22128	199900
299	22201	199813
300	22274	199728
301	22351	199686
302	22427	199630
303	22498	199522
304	22569	199429
305	22642	199339
306	22716	199265
307	22790	199197
308	22871	199179
309	22939	199057
310	23016	199008
311	23093	198955
312	23167	198884
313	23243	198827
314	23321	198790
315	23397	198732
316	23473	198669
317	23547	198599
318	23624	198552
319	23704	198521
320	23774	198418
321	23851	198370
322	23924	198286
323	23999	198214
324	24077	198179
325	24152	198113
326	24229	198063
327	24305	198001
328	24382	197951
329	24456	197877
330	24535	197839
331	24612	197788
332	24686	197713
333	24760	197638
334	24839	197604
335	24913	197526
336	24985	197440
337	25064	197400
338	25142	197355
339	25221	197323
340	25297	197257
341	25377	197235
342	25461	197230
343	25545	197233
344	25622	197178
345	25696	197103
346	25778	197090
347	25853	197024
348	25928	196953
349	26000	196857
350	26081	196839
351	26163	196821
352	26240	196764
353	26313	196681
354	26389	196622
355	26475	196630
356	26555	196597
357	26632	196544
358	26715	196533
359	26789	196453
360	26869	196421
361	26953	196421
362	27031	196367
363	27110	196328
364	27182	196231
365	27258	196169
366	27340	196152
367	27451	196341
368	27524	196252
369	27598	196175
370	27676	196124
371	27754	196068
372	27834	196033
373	27915	196008
374	27995	195970
375	28076	195935
376	28154	195884
377	28232	195831
378	28306	195758
379	28380	195673
380	28450	195569
381	28531	195537
382	28606	195468
383	28683	195405
384	28757	195329
385	28834	195271
386	28909	195197
387	28989	195156
388	29067	195103
389	29142	195028
390	29218	194965
391	29294	194901
392	29374	194859
393	29452	194807
394	29527	194732
395	29604	194670
396	29683	194624
397	29759	194557
398	29840	194523
399	29919	194476
400	29991	194384
401	30069	194332
402	30150	194295
403	30229	194247
404	30307	194190
405	30385	194140
406	30459	194055
407	30538	194009
408	30612	193927
409	30687	193854
410	30761	193774
411	30845	193759
412	30927	193728
413	31003	193657
414	31081	193604
415	31159	193550
416	31234	193474
417	31314	193430
418	31395	193390
419	31472	193332
420	31548	193259
421	31627	193209
422	31707	193167
423	31781	193089
424	31854	193001
425	31927	192916
426	32007	192870
427	32084	192808
428	32164	192759
429	32237	192676
430	32315	192620
431	32393	192559
432	32474	192521
433	32554	192475
434	32629	192399
435	32706	192339
436	32783	192272
437	32860	192212
438	32931	192112
439	33011	192069
440	33091	192020
441	33167	191951
442	33246	191896
443	33320	191820
444	33406	191805
445	33478	191714
446	33555	191650
447	33630	191573
448	33706	191503
449	33784	191445
450	33859	191369
451	33936	191303
452	34014	191247
453	34091	191183
454	34172	191143
455	34257	191119
456	34335	191063
457	34417	191022
458	34498	190984
459	34572	190901
460	34649	190834
461	34725	190762
462	34804	190712
463	34881	190645
464	34961	190594
465	35034	190508
466	35114	190460
467	35190	190391
468	35264	190307
469	35341	190242
470	35415	190159
471	35492	190093
472	35562	189992
473	35639	189925
474	35714	189850
475	35791	189784
476	35866	189707
477	35947	189666
478	36021	189584
479	36100	189527
480	36180	189475
481	36257	189414
482	36336	189356
483	36414	189296
484	36492	189233
485	36573	189191
486	36653	189138
487	36728	189063
488	36806	188998
489	36881	188925
490	36963	188880
491	37041	188819
492	37119	188761
493	37195	188689
494	37272	188621
495	37355	188582
496	37433	188521
497	37512	188465
498	37587	188391
499	37670	188350
500	37745	188273
501	37825	188222
502	37908	188184
503	37983	188111
504	38062	188050
505	38140	187987
506	38218	187924
507	38293	187848
508	38370	187780
509	38449	187726
510	38527	187660
511	38603	187590
512	38687	187555
513	38764	187488
514	38841	187419
515	38925	187383
516	39004	187327
517	39079	187248
518	39156	187180
519	39238	187135
520	39315	187068
521	39390	186993
522	39464	186909
523	39536	186819
524	39613	186749
525	39691	186686
526	39766	186609
527	39846	186555
528	39924	186490
529	40004	186437
530	40081	186369
531	40166	186334
532	40243	186267
533	40322	186207
534	40399	186140
535	40474	186061
536	40555	186012
537	40630	185934
538	40709	185872
539	40786	185806
540	40867	185755
541	40950	185714
542	41033	185669
543	41110	185603
544	41188	185535
545	41260	185444
546	41335	185369
547	41413	185304
548	41491	185238
549	41569	185174
550	41645	185101
551	41723	185035
552	41802	184975
553	41879	184905
554	41958	184842
555	42034	184772
556	42117	184726
557	42196	184666
558	42279	184624
559	42359	184567
560	42449	184551
561	42530	184499
562	42613	184458
563	42700	184430
564	42789	184409
565	42873	184369
566	42953	184314
567	43033	184254
568	43116	184210
569	43193	184140
570	43270	184068
571	43355	184031
572	43436	183979
573	43510	183895
574	43594	183855
575	43671	183783
576	43751	183725
577	43827	183650
578	43903	183577
579	43979	183499
580	44059	183442
581	44141	183390
582	44220	183330
583	44303	183283
584	44392	183259
585	44475	183212
586	44549	183132
587	44622	183044
588	44696	182961
589	44774	182892
590	44855	182835
591	44935	182778
592	45022	182745
593	45099	182676
594	45184	182638
595	45259	182558
596	45336	182485
597	45410	182401
598	45486	182326
599	45563	182253
600	45647	182210
601	45726	182145
602	45800	182063
603	45876	181987
604	45950	181904
605	46023	181816
606	46100	181745
607	46173	181655
608	46248	181577
609	46324	181499
610	46401	181428
611	46486	181388
612	46560	181306
613	46635	181226
614	46710	181147
615	46788	181078
616	46863	180998
617	46943	180939
618	47024	180880
619	47102	180813
620	47181	180749
621	47260	180682
622	47332	180594
623	47409	180519
624	47482	180432
625	47560	180366
626	47632	180275
627	47712	180213
628	47788	180138
629	47866	180069
630	47938	179979
631	48016	179909
632	48094	179841
633	48173	179778
634	48253	179714
635	48328	179637
636	48404	179558
637	48484	179499
638	48564	179436
639	48640	179361
640	48716	179286
641	48797	179227
642	48873	179150
643	48980	179188
644	49056	179114
645	49132	179037
646	49211	178971
647	49288	178897
648	49370	178846
649	49443	178756
650	49517	178672
651	49590	178587
652	49672	178530
653	49749	178458
654	49829	178395
655	49909	178334
656	49986	178262
657	50068	178206
658	50147	178140
659	50221	178059
660	50298	177984
661	50379	177925
662	50454	177847
663	50532	177775
664	50608	177701
665	50690	177643
666	50767	177570
667	50842	177491
668	50921	177425
669	50998	177354
670	51076	177282
671	51154	177215
672	51230	177136
673	51302	177045
674	51382	176984
675	51460	176913
676	51532	176823
677	51611	176757
678	51689	176689
679	51766	176613
680	51847	176553
681	51925	176485
682	52001	176407
683	52077	176333
684	52152	176253
685	52234	176196
686	52321	176156
687	52398	176082
688	52474	176005
689	52558	175956
690	52643	175910
691	52721	175840
692	52799	175768
693	52873	175687
694	52954	175626
695	53034	175562
696	53110	175486
697	53189	175420
698	53268	175352
699	53346	175280
700	53425	175214
701	53501	175138
702	53578	175064
703	53652	174979
704	53736	174928
705	53815	174860
706	53892	174788
707	53970	174719
708	54048	174647
709	54122	174564
710	54201	174495
711	54275	174413
712	54362	174370
713	54443	174310
714	54522	174242
715	54595	174157
716	54672	174083
717	54752	174018
718	54833	173956
719	54911	173887
720	54988	173811
721	55068	173747
722	55146	173676
723	55225	173608
724	55303	173537
725	55383	173473
726	55465	173416
727	55552	173371
728	55627	173291
729	55705	173220
730	55780	173141
731	55865	173092
732	55940	173010
733	56011	172919
734	56092	172856
735	56174	172798
736	56255	172736
737	56330	172654
738	56413	172600
739	56489	172521
740	56569	172455
741	56645	172378
742	56722	172303
743	56806	172252
744	56883	172176
745	56962	172110
746	57042	172044
747	57119	171968
748	57197	171899
749	57272	171817
750	57344	171727
751	57427	171672
752	57500	171586
753	57573	171499
754	57646	171411
755	57729	171354
756	57805	171279
757	57883	171206
758	57965	171148
759	58038	171060
760	58113	170979
761	58191	170909
762	58266	170828
763	58347	170766
764	58426	170698
765	58502	170620
766	58580	170547
767	58659	170478
768	58745	170431
769	58832	170384
770	58919	170338
771	58995	170260
772	59074	170193
773	59153	170123
774	59231	170051
775	59310	169982
776	59388	169909
